,sqft,beds,baths,lot_size,year_built,address,Bronx,Brooklyn,Manhattan,New York,Queens,Staten Island,Condo,Land,Multi-Family Home,Single Family Home,sale_price
172,1296.0,3.0,1.5,1800.0,1955.0,1722 E 54th St,0,1,0,0,0,0,0,0,0,1,635000.0
173,1008.0,3.0,2.0,2958.0,1920.0,1151 63rd St,0,1,0,0,0,0,0,0,0,1,900000.0
174,960.0,2.0,1.5,1400.0,1993.0,151 Bement Ct,0,0,0,0,0,1,0,0,0,1,385000.0
175,749.0,2.0,1.0,2500.0,1940.0,112 New St,0,0,0,0,0,1,0,0,0,1,315000.0
176,2080.0,4.0,2.0,2250.0,1915.0,867 Van Duzer St,0,0,0,0,0,1,0,0,1,0,450000.0
177,2910.0,3.0,3.0,4883.0,2020.0,88 Chestnut Ave,0,0,0,0,0,1,0,0,0,1,942500.0
178,1280.0,3.0,1.5,2178.0,1935.0,74-05 Kessel St,0,0,0,0,1,0,0,0,0,1,1100000.0
179,1878.0,3.0,2.5,2614.0,2005.0,143-35 Farmers Blvd,0,0,0,0,1,0,0,0,0,1,435000.0
180,1219.0,3.0,2.0,2178.0,1924.0,61-24 62nd St,0,0,0,1,0,0,0,0,0,1,750000.0
181,1197.0,3.0,1.5,2614.0,1910.0,147-15 15 Ave,0,0,0,1,0,0,0,0,0,1,750000.0
182,1120.0,3.0,1.5,2614.0,1920.0,130-04 Lefferts Blvd,0,0,0,1,0,0,0,0,0,1,605000.0
183,1800.0,4.0,2.0,2614.0,1926.0,171-24 Courtney Ave,0,0,0,0,1,0,0,0,0,1,915000.0
184,1300.0,4.0,2.5,2178.0,1920.0,89-38 83rd Ave,0,0,0,1,0,0,0,0,0,1,698400.0
185,2444.0,5.0,3.0,4000.0,1974.0,96 Holcomb Ave,0,0,0,0,0,1,0,0,0,1,850000.0
186,2084.0,3.0,2.5,3125.0,2002.0,47 Fox Hill Ter,0,0,0,0,0,1,0,0,0,1,799000.0
187,1500.0,3.0,3.0,2700.0,1980.0,330 Green Valley Rd,0,0,0,0,0,1,0,0,0,1,660000.0
