,sqft,beds,baths,lot_size,year_built,address,property_type,neighborhood,borough,sale_price
253,1152.0,3.0,1.5,2178.0,1920.0,89-50 202nd St,Single Family Home,Hollis,New York,650000.0
254,1995.0,4.0,3.5,3485.0,1930.0,161-22 28 Ave,Single Family Home,Flushing,New York,1230000.0
255,1344.0,3.0,1.0,3600.0,1915.0,130 Kingsley Ave,Single Family Home,Westerleigh,Staten Island,450000.0
256,2024.0,4.0,2.5,5000.0,1950.0,21 David St,Single Family Home,Great Kills,Staten Island,870000.0
257,1080.0,3.0,2.0,4000.0,1970.0,27 Macon Ave,Single Family Home,Eltingville,Staten Island,626500.0
258,896.0,4.0,2.0,2542.0,1920.0,9 Sunnymeade Vlg,Single Family Home,South Beach,Staten Island,399900.0
259,1282.0,4.0,2.5,1785.0,2010.0,37 Bevy Ct,Multi-Family Home,Gerritsen Beach,Brooklyn,715000.0
260,2365.0,2.0,3.5,1860.0,2006.0,84 Topside Ln,Single Family Home,Charleston,Staten Island,745000.0
261,2352.0,4.0,1.5,10018.809200000002,1975.0,312 Detroit Ave,Single Family Home,Annadale,Staten Island,975000.0
262,1409.0,3.0,2.5,2146.0,1998.0,264 Rhine Ave,Single Family Home,Concord,Staten Island,620000.0
263,2200.0,4.0,2.5,3957.0,1997.0,38 Nicole Loop,Single Family Home,Emerson Hill,Staten Island,938000.0
264,1125.0,3.0,1.0,4560.0,1960.0,114 Peter Ave,Single Family Home,Oakwood,Staten Island,630000.0
265,2012.0,3.0,2.5,4200.0,1965.0,227 Abingdon Ave,Single Family Home,Great Kills,Staten Island,720712.0
266,1432.0,3.0,2.5,2000.0,1920.0,1749 E 32nd St,Single Family Home,Marine Park,Brooklyn,755000.0
267,1856.0,3.0,2.5,2400.0,1980.0,184 Braisted Ave,Single Family Home,New Springville,Staten Island,690000.0
268,1036.0,3.0,2.0,1670.0,1940.0,3401 Avenue P,Single Family Home,Marine Park,Brooklyn,700000.0
269,1328.0,3.0,1.5,4000.0,1925.0,46 Carlin St,Single Family Home,Charleston,Staten Island,565000.0
270,1152.0,2.0,2.0,2900.0,1920.0,1165 63rd St,Single Family Home,Borough Park,Brooklyn,1089900.0
271,4140.0,7.0,4.0,2000.0,1894.0,242 Decatur St,Multi-Family Home,Bedford-Stuyvesant,Brooklyn,2900000.0
272,1184.0,3.0,1.5,1573.0,1935.0,3710 Avenue R,Single Family Home,Marine Park,Brooklyn,650000.0
273,973.0,2.0,2.5,870.0,1995.0,77 Wildwood Ln,Condo,Tottenville,Staten Island,400000.0
274,1200.0,3.0,2.5,2760.0,1992.0,20 Cambridge Ave,Single Family Home,Westerleigh,Staten Island,648000.0
275,1135.0,2.0,1.0,2800.0,1925.0,41 Beekman St,Single Family Home,Port Richmond,Staten Island,450000.0
276,1092.0,3.0,1.5,6300.0,1960.0,374 Watchogue Rd,Single Family Home,Westerleigh,Staten Island,575000.0
277,1364.0,3.0,2.5,3082.0,2021.0,118 Hope Ave,Condo,Rosebank,Staten Island,665000.0
278,1378.0,3.0,1.5,2178.0,1920.0,583 E 51st St,Single Family Home,East Flatbush,Brooklyn,610000.0
279,2580.0,5.0,3.0,4792.0,1960.0,169-56 24th Rd,Single Family Home,Clearview,Queens,1407000.0
280,1733.0,5.0,2.5,3920.0,1950.0,36-49 204th St,Multi-Family Home,Auburndale,Queens,1297000.0
281,3390.0,7.0,5.0,10018.809200000002,1965.0,1800 E 91st St,Multi-Family Home,Canarsie,Brooklyn,995000.0
