,sqft,beds,baths,lot_size,year_built,address,property_type,neighborhood,borough,sale_price
202,,4.0,3.5,,1899.0,275 Adelphi St Unit Townhouse,,Fort Greene,Brooklyn,4800000.0
203,625.0,0.0,1.0,,1940.0,35-15 84th St Unit 4C,,Jackson Heights,New York,250000.0
204,1000.0,2.0,1.5,,1958.0,33-24 93rd St Unit 1N,,Jackson Heights,New York,330000.0
205,2444.0,3.0,3.0,3900.0,1987.0,988 Rathbun Ave,Single Family Home,Woodrow,Staten Island,895000.0
206,2700.0,4.0,2.5,4800.0,2001.0,171 Manhattan St,Single Family Home,Tottenville,Staten Island,999900.0
207,2200.0,4.0,2.5,4085.0,2000.0,3397 Richmond Ave,Single Family Home,Eltingville,Staten Island,920000.0
208,,6.0,2.0,2553.0,1935.0,221 Battery Ave,Multi-Family Home,Dyker Heights,Brooklyn,980000.0
209,2441.0,4.0,3.5,4500.0,1970.0,484 Ashworth Ave,Single Family Home,New Springville,Staten Island,804000.0
210,1396.0,4.0,1.5,3760.0,1920.0,57 Allen Ct,Single Family Home,West Brighton,Staten Island,690000.0
211,1120.0,2.0,3.0,7200.0,1925.0,31 Frank Ct,Single Family Home,Gerritsen Beach,Brooklyn,850000.0
212,,0.0,0.0,2500.0,,73 Kingsland Ave,Land,Williamsburg,Brooklyn,1558000.0
213,2408.0,3.0,3.0,4480.0,1920.0,42 Pearsall St,Single Family Home,South Beach,Staten Island,685000.0
214,1000.0,2.0,1.0,,1963.0,2483 W 16th St Apt 11D,,Gravesend,Brooklyn,325000.0
215,2297.0,4.0,1.5,2496.0,1986.0,20 Dina Ct,Single Family Home,Great Kills,Staten Island,710000.0
216,2196.0,3.0,2.0,4000.0,1901.0,41 Cannon Ave,Single Family Home,Travis - Chelsea,Staten Island,680000.0
217,1256.0,3.0,2.0,3335.0,1925.0,13 Howard Ct,Single Family Home,West Brighton,Staten Island,443000.0
218,1492.0,3.0,2.5,2380.0,2005.0,52 Santa Monica Ln,Single Family Home,Woodrow,Staten Island,635000.0
219,1042.0,2.0,2.0,,2013.0,3041 Brighton 2 St Unit 1B,,Brighton Beach,Brooklyn,575000.0
220,2304.0,4.0,2.0,1950.0,2019.0,25 Milbank Rd,Single Family Home,New Dorp Beach,Staten Island,580000.0
221,1100.0,2.0,1.5,1100.0,1965.0,20 Cliff St Apt 4E,,Shore Acres,Staten Island,390000.0
222,2040.0,4.0,2.0,1892.0,1955.0,1873 Shore Pkwy,Multi-Family Home,Gravesend,Brooklyn,988000.0
223,4494.0,6.0,5.5,,1899.0,4926 Goodridge Ave,Single Family Home,Riverdale,Bronx,3100000.0
224,2007.0,5.0,3.0,3800.0,1947.0,39 Austin Ave,Single Family Home,South Beach,Staten Island,625000.0
225,1152.0,3.0,1.5,2600.0,1960.0,2683 E 63rd St,Single Family Home,Mill Basin,Brooklyn,770000.0
226,1344.0,3.0,2.0,2377.0,1925.0,9105 Colonial Rd,Single Family Home,Bay Ridge,Brooklyn,1365000.0
227,3063.0,4.0,2.5,6900.0,1925.0,34 Colonial Ct,Single Family Home,West Brighton,Staten Island,1070000.0
228,2052.0,,2.5,4000.0,1965.0,2326 National Dr,Multi-Family Home,Mill Basin,Brooklyn,970000.0
229,1040.0,3.0,1.0,3745.0,1930.0,25 Virginia Pl,Single Family Home,Westerleigh,Staten Island,560000.0
230,1456.0,3.0,1.5,2200.0,1979.0,447 Dongan Hills Ave,Single Family Home,Ocean Breeze,Staten Island,580000.0
231,1100.0,2.0,1.0,,,2265 Ocean Pkwy Apt 4L,,Sheepshead Bay,Brooklyn,375000.0
232,1064.0,2.0,2.0,,2020.0,40 Huntington St Unit 2B,,Red Hook,Brooklyn,1019000.0
233,947.0,2.0,2.0,,2008.0,42 Maspeth Ave Apt 5G,,East Williamsburg,Brooklyn,1299000.0
234,1354.0,2.0,,500.0,1996.0,319 Jamie Ln,Condo,Eltingville,Staten Island,394900.0
235,1600.0,3.0,3.5,2500.0,2004.0,71 Waldron Ave,Single Family Home,Sunnyside,Staten Island,690000.0
236,700.0,1.0,1.0,,,185 Marine Ave Apt 6J,,Bay Ridge,Brooklyn,315000.0
237,1896.0,3.0,3.0,,2020.0,76 N 6th St Unit Ph,,Williamsburg,Brooklyn,3050000.0
238,,1.0,1.0,,2016.0,190 S 1st St Unit 11A,,Williamsburg,Brooklyn,1299000.0
239,1028.0,2.0,2.5,1890.0,1913.0,1713 E 93rd St,Single Family Home,Canarsie,Brooklyn,575000.0
240,1080.0,2.0,2.0,,2019.0,77 Charlton St Unit S14A,,SoHo,Manhattan,
241,1489.0,2.0,2.5,,2019.0,50 Bridge Park Dr Apt 6D,,Brooklyn Heights,Brooklyn,2090000.0
242,,2.0,2.0,,1900.0,411 W 22nd St Unit 4FR,,Chelsea,Manhattan,1295000.0
243,900.0,1.0,1.5,,,448 Court St Apt 2L,,Carroll Gardens,Brooklyn,829000.0
244,1235.0,2.0,2.5,,2019.0,77 Charlton St Unit N13B,,SoHo,Manhattan,
245,1872.0,3.0,3.5,,2019.0,77 Charlton St Unit S14B,,New Dorp,Staten Island,
246,502.0,1.0,1.0,,2005.0,555 W 23rd St Apt S9A,,Chelsea,Manhattan,739000.0
247,1377.0,3.0,2.0,,2020.0,1916 Avenue X Unit 3C,,Sheepshead Bay,Brooklyn,875000.0
248,570.0,0.0,1.0,,2019.0,77 Charlton St Unit S11E,,New Dorp,Staten Island,
